location,price
 Devarabeesana Halli,124.83333333333333
 Devarachikkanahalli,62.714285714285715
 Mysore Highway,36.875
 Sector 1 HSR Layout,276.0
 ittamadu,110.0
 south,445.0
1 Annasandrapalya,150.0
1 Giri Nagar,360.0
1 Immadihalli,150.0
1 Ramamurthy Nagar,170.0
12th cross srinivas nagar banshankari 3rd stage,200.0
1A Block Koramangala,650.0
1Channasandra,125.0
1Hanuman Nagar,490.0
1Hoysalanagar,275.0
1Kasavanhalli,200.0
1st Block BEL Layout,167.5
1st Block HBR Layout,231.66666666666666
1st Block HRBR Layout,209.625
1st Block Jayanagar,207.5
1st Block Koramangala,283.45
1st Phase JP Nagar,170.7
1st Stage Domlur,65.0
1st Stage Indira Nagar,195.8
1st Stage Radha Krishna Layout,250.0
2Electronic City Phase II,230.0
2nd Block Bel Layout,92.0
2nd Block Hbr Layout,55.0
2nd Block Hrbr Layout,285.57142857142856
2nd Block Jayanagar,467.5
2nd Block Koramangala,761.0
2nd Phase JP Nagar,161.94444444444446
2nd Phase Judicial Layout,46.18181818181818
2nd Stage Arekere Mico Layout,169.0
2nd Stage Nagarbhavi,220.83333333333334
"2nd phase jp nagar, jp nagar",205.0
3rd Block Banashankari,366.6
3rd Block HBR Layout,100.0
3rd Block Hrbr Layout,143.57142857142858
3rd Block Jayanagar,170.0
3rd Block Koramangala,220.0
3rd Phase Iti Layout,63.0
3rd Phase JP Nagar,231.33333333333334
3rd Stage Raja Rajeshwari Nagar,65.0
4 Bedroom Farm House in Bagalur,80.0
4th Block HBR Layout,138.0
4th Block Jayanagar,300.0
4th Block Koramangala,348.55555555555554
4th Phase JP Nagar,126.725
4th T block Jayanagar,280.42857142857144
5th Block Hbr Layout,202.75
5th Block Jayanagar,905.0
5th Phase JP Nagar,86.11282051282052
5th Stage BEML Layout,165.0
5th block Koramangala,520.0
6th Block Jayanagar,255.0
6th Block Rajaji Nagar,190.0
6th Phase JP Nagar,105.38695652173914
6th block Koramangala,259.91999999999996
"6th block banashankari 3rd stage, 100 feet ORR",660.0
7th Block Jayanagar,376.0
7th Block Koramangala,130.0
7th Phase JP Nagar,100.52295302013422
8th Block Jayanagar,340.0
8th Phase JP Nagar,77.97535087719298
8th block Koramangala,206.14285714285714
9th Block Jayanagar,228.0
9th Phase JP Nagar,89.58372093023256
A Narayanapura,132.0
AECS LAYOUT A-BLOCK Singasandra,225.0
AECS Layout,61.965
AGB Layout,145.0
AGS Layout,67.25285714285714
AMS Layout,72.25
Aavalahalli,41.94
Abbaiah Reddy Layout,42.74
Abbigere,53.30583333333333
Abshot Layout,185.0
Achins Road,410.0
Adarsh Nagar,50.0
Addischetan Layout,55.0
Adityanagar,67.33333333333333
Adugodi,65.0
Agara Village,120.0
Agrahara Dasarahalli,85.66666666666667
Air View Colony,58.5
Aishwarya Crystal Layout,82.0
Akash Nagar,47.8
Akshaya Nagar,85.34516129032258
Akshaya Vana,94.25
Akshayanagara East,94.4525
Akshayanagara West,67.5
Akshya Nagar,77.454
Alfa Garden Layout,42.8
Allalasandra,22.0
Alur,15.0
Amam Enclave Layout,57.5
Amarjyothi Colony,49.5
Ambalipura,104.32703703703703
Ambedkar Colony,158.85714285714286
Ambedkar Nagar,185.19354838709677
Amblipura,140.16666666666666
Amco Colony,88.0
Amrita Nagar,150.0
Amruthahalli,90.22916666666667
Amruthnagar,59.7
Anand Nagar,190.83333333333334
Anand nagar,97.5
Anandapura,57.38
Anantapura,91.33333333333333
Anantapuram,63.0
Ananth Nagar,33.713
"Ananthanagar Phase 1,Electronic City , phase 2",45.9
"Ananthapura, T C palaya Main Road",60.0
Anathanagar,45.0
Andrahalli,185.0
Anekal,38.57142857142857
Anekal - Hosur Road,140.0
Anjana Nagar,177.5
Anjanapura,64.024375
Anjappa Layout,68.33333333333333
Ankappa Layout,63.333333333333336
Annaiah Reddy Layout,35.0
"Annapoorneshwari Layout, JP nagar 7th phase",70.0
Annapurneshwari Nagar,210.0
Annasandrapalya,150.0
Anugrah Layout,70.0
Anwar Layout,30.195
Arasanakunte,137.0
Ardendale,131.05208333333334
Arehalli,68.67666666666666
Arekempanahalli,110.0
Arekere,96.40625
Arishinakunte,145.0
Ashirvad Colony,61.0
Ashok Nagar,1486.0
Ashraya Layout,225.0
Ashwath Nagar,82.28571428571429
Ashwathnagar,130.83333333333334
Ashwini layout,59.0
Asthagrama Layout,38.0
Atmananda Colony,55.333333333333336
Attibele,46.43666666666667
Attiguppe,70.0
Attur Layout,133.0
Austin Town,42.142857142857146
Avalahalli,104.65799999999999
Ayappa Nagar,56.666666666666664
B Channasandra,191.33333333333334
B K Nagar,300.0
B Narayanapura,65.03444444444443
B Y Raveshwara Nagar,140.0
BAGUR,17.0
BAGUR ROAD,35.0
BCC Layout,183.75
BCMC Layout,80.0
BDS Layout,37.5
BEL Layout,105.0
BEL Road,365.75
BEML Layout,120.38461538461539
BEML Layout 5th Stage,325.0
BEML Layout 5th stage,85.0
BHEL Layout,165.0
BSM Extension,37.5
BTM 1st Stage,164.1
BTM 2nd Stage,156.0344827586207
BTM 4th Stage,67.66666666666667
BTM Layout,99.51823529411764
BTM Layout 1stage 9th Main,138.0
BTM Layout 2nd Stage 1st Phase,395.0
Baba Nagar,59.083333333333336
Babusapalaya,53.1004
Badavala Nagar,95.22083333333335
Badrappa Layout,88.0
Bagalakunte,101.0
Bagalur,75.174
Bagalur Main Road,193.0
Bahubali Nagar,150.0
Balagere,60.88988888888889
